group,FC_Mean_Global,FC_Variance_Global,FC_Mean_Vis,FC_Mean_SomMot,FC_Mean_DorsAttn,FC_Mean_SalVentAttn,FC_Mean_Limbic,FC_Mean_Cont,FC_Mean_Default,FC_Std_Vis,FC_Std_SomMot,FC_Std_DorsAttn,FC_Std_SalVentAttn,FC_Std_Limbic,FC_Std_Cont,FC_Std_Default,FC_Weighted_Degree_Vis,FC_Weighted_Degree_SomMot,FC_Weighted_Degree_DorsAttn,FC_Weighted_Degree_SalVentAttn,FC_Weighted_Degree_Limbic,FC_Weighted_Degree_Cont,FC_Weighted_Degree_Default
DEMENTED,0.0780034978745843,0.12277377182882301,-0.029275015459476972,0.19375984758508658,0.16258408637197913,0.1823124810758736,-0.09969484116748163,0.09097521422238848,0.04536271249372084,0.2969776276036806,0.33820743707828405,0.3177189858521458,0.3221869364375789,0.19695809057779137,0.34659688007340383,0.2735541128539577,-0.17565009275686183,1.1625590855105192,0.9755045182318749,1.093874886455242,-0.5981690470048898,0.5458512853343308,0.27217627496232505
NORMCOG,0.07764156525482474,0.11716062661253973,-0.0045855249217665916,0.181356114420582,0.15830370491991472,0.17022917158585424,-0.05159068796320646,0.06417277852572831,0.025605400216666935,0.31268971402454404,0.3366083839956402,0.32335688468078,0.2938056758048742,0.19725706281147468,0.32195342329387705,0.26730359849980284,-0.02751314953059955,1.0881366865234918,0.9498222295194884,1.0213750295151254,-0.30954412777923873,0.38503667115436985,0.1536324013000016
DIFFERENCE,-0.0003619326197595585,-0.005613145216283283,0.02468949053771038,-0.012403733164504577,-0.0042803814520644135,-0.012083309490019373,0.04810415320427517,-0.026802435696660173,-0.019757312277053907,0.015712086420863414,-0.0015990530826438532,0.005637898828634191,-0.028381260632704686,0.0002989722336833034,-0.024643456779526784,-0.006250514354154857,0.14813694322626228,-0.0744223989870274,-0.025682288712386536,-0.07249985694011651,0.2886249192256511,-0.16081461417996096,-0.11854387366232344
